TICKET_ID,SITE_ID,TKT_PROB_DATE,TKT_RESTORE_DATE,TKT_CLOSE_DATE,TKT_SEVERITY,TKT_CUST_IMPACT,TKT_IMPACT,TKT_SWITCH,TKT_CELL_NAME,TKT_ALARM_SRC,C_SUMMARY,AUTO_CLR,C_CLEAREDTIME,C_TECHNOLOGY,C_TTNUMBER,ALARM_IMPACT,REPORT_DATE
NOC1537244,760350,3/27/2017 13:43,3/27/2017 13:57,3/27/2017 14:09,3,"2 site without Voice, 1x, 3G and 4G service",1,CDR2,CEDAR_ST_C760756,CDR2BSM51 CELL 1123,Heartbeat Not Received From Subsystem,na,,CDMA,NOC1537244,SA,3/28/2017 7:53
NOC1537244,760350,3/27/2017 13:43,3/27/2017 13:57,3/27/2017 14:09,3,"2 site without Voice, 1x, 3G and 4G service",1,CDR2,CEDAR_ST_C760756,CDR2BSM51 CELL 1123,Heartbeat Not Received From Subsystem,AUTO,3/27/2017 13:57,CDMA,NOC1537244,SA,3/28/2017 7:53
NOC1537244,760756,3/27/2017 13:43,3/27/2017 13:57,3/27/2017 14:09,3,"2 site without Voice, 1x, 3G and 4G service",1,CDR2,CEDAR_ST_C760756,CDR2BSM51 CELL 1123,Heartbeat Not Received From Subsystem,AUTO,3/27/2017 13:57,CDMA,NOC1537244,SA,3/28/2017 7:53
NOC1537244,760756,3/27/2017 13:43,3/27/2017 13:57,3/27/2017 14:09,3,"2 site without Voice, 1x, 3G and 4G service",1,CDR2,CEDAR_ST_C760756,CDR2BSM51 CELL 1123,Heartbeat Not Received From Subsystem,na,,CDMA,NOC1537244,SA,3/28/2017 7:53
NOC1537264,782345,3/27/2017 14:42,3/27/2017 15:04,3/27/2017 15:05,3,"1 site with degraded Voice, 1x, 3G",2,MADI,STOUGHDT_C782345,MADIBSM21 CELL 1038,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,AUTO,3/27/2017 14:56,CDMA,NOC1537264,SA,3/28/2017 7:53
NOC1537264,782345,3/27/2017 14:42,3/27/2017 15:04,3/27/2017 15:05,3,"1 site with degraded Voice, 1x, 3G",2,MADI,STOUGHDT_C782345,MADIBSM21 CELL 1038,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,na,,CDMA,NOC1537264,SA,3/28/2017 7:53
NOC1537271,779305,3/27/2017 15:06,3/27/2017 15:13,3/27/2017 15:14,3,"1 site with degraded Voice, 1x, 3G",2,ROC2,WEMPLETO_C779305,ROC2BSM CELL 1205,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,AUTO,3/27/2017 15:11,CDMA,NOC1537271,SA,3/28/2017 7:53
NOC1537271,779305,3/27/2017 15:06,3/27/2017 15:13,3/27/2017 15:14,3,"1 site with degraded Voice, 1x, 3G",2,ROC2,WEMPLETO_C779305,ROC2BSM CELL 1205,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,na,,CDMA,NOC1537271,SA,3/28/2017 7:53
NOC1537288,782345,3/27/2017 15:43,3/27/2017 16:13,3/27/2017 16:15,3,"1 site with degraded Voice, 1x, 3G",2,MADI,STOUGHDT_C782345,MADIBSM21 CELL 1038,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,AUTO,3/27/2017 15:46,CDMA,NOC1537288,SA,3/28/2017 7:53
NOC1537288,782345,3/27/2017 15:43,3/27/2017 16:13,3/27/2017 16:15,3,"1 site with degraded Voice, 1x, 3G",2,MADI,STOUGHDT_C782345,MADIBSM21 CELL 1038,Communications Failure // Control Module cannot communicate with radio.See CommunicationStatus attribute for details.,na,,CDMA,NOC1537288,SA,3/28/2017 7:53
